restuarant_name,cuisine,rating,delivery_time,cost,restuarant_link,image_url,location
Geetham Veg Restaurant,"South Indian, North Indian, Oriental",4.3,29 min,₹400 for one,https://www.zomato.com/chennai/geetham-veg-restaurant-purasavakkam/order,,chennai
KFC,30% OFF,3.7,38 min,₹200 for one,https://www.zomato.com/chennai/kfc-2-park-town/order,,chennai
Shree Mithai,30% OFF,4.5,41 min,₹100 for one,https://www.zomato.com/chennai/shree-mithai-chetpet/order,,chennai
SS Hyderabad Biryani,30% OFF,4.3,27 min,₹200 for one,https://www.zomato.com/chennai/ss-hyderabad-biryani-purasavakkam/order,,chennai
Domino's Pizza,30% OFF,4.0,23 min,₹150 for one,https://www.zomato.com/chennai/dominos-pizza-1-perambur/order,,chennai
Nandhana Palace,30% OFF,4.2,33 min,₹250 for one,https://www.zomato.com/chennai/nandhana-palace-triplicane/order,,chennai
Namma Veedu Vasanta Bhavan,₹101 OFF,4.1,26 min,₹350 for one,https://www.zomato.com/chennai/namma-veedu-vasanta-bhavan-egmore/order,,chennai
Mirchi Express,Flat 20% OFF,4.1,31 min,₹400 for one,https://www.zomato.com/chennai/mirchi-express-egmore/order,,chennai
Leo's Cafe,₹101 OFF,4.0,23 min,₹150 for one,https://www.zomato.com/chennai/leos-cafe-1-park-town/order,,chennai
Pizza Hut,Flat 20% OFF,3.9,37 min,₹150 for one,https://www.zomato.com/chennai/pizza-hut-triplicane/order,,chennai
McDonald's,30% OFF,4.0,40 min,₹250 for one,https://www.zomato.com/chennai/mcdonalds-kilpauk/order,,chennai
Hotel Shiva Sagar,₹101 OFF,4.2,41 min,₹400 for one,https://www.zomato.com/chennai/hotel-shiva-sagar-vepery/order,,chennai
WOW! Momo,Flat 30% OFF,4.0,19 min,₹200 for one,https://www.zomato.com/chennai/wow-momo-vepery/order,,chennai
Mount Road Bilal - Kebabs And Biryani,"Biryani, Kebab, North Indian, South Indian, Mughlai, Desserts, Chinese",4.3,35 min,₹350 for one,https://www.zomato.com/chennai/mount-road-bilal-kebabs-and-biryani-triplicane/order,,chennai
Basheer Bai Biriyani,₹101 OFF,3.9,27 min,₹150 for one,https://www.zomato.com/chennai/basheer-bai-biriyani-egmore/order,,chennai
Hotel Khaja Empire,₹101 OFF,3.9,20 min,₹200 for one,https://www.zomato.com/chennai/hotel-khaja-empire-park-town/order,,chennai
Symphony,Flat 20% OFF,4.3,25 min,₹750 for one,https://www.zomato.com/chennai/symphony-egmore/order,,chennai
Sangeetha Veg Restaurant - Gandhi Irwin Road,30% OFF,4.5,25 min,₹200 for one,https://www.zomato.com/chennai/sangeetha-veg-restaurant-gandhi-irwin-road-egmore/order,,chennai
