product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
,Levis,Solid Lounge T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12027436/2022/9/15/ea90445c-a37b-43ac-948b-8e291ec78dc31663221311972LevisMenWhiteSolidRoundNeckLoungeT-shirt1.jpg",Rs. 460,Rs. 649,,,,Organic,brand
,Levis,Men Thermal Top,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10723238/2020/11/12/6c59ff03-084b-4275-9176-eb74c759f2721605161666146-Levis-Men-Charcoal-Grey-Solid-Thermal-Top-7351605161663714-1.jpg",Rs. 493,Rs. 949,,,,Organic,brand
,Levis,Men Round Neck Thermal Set,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/JULY/17/dK8uXo6o_bfbe338e07004ea3b4062f2dfc9d1a72.jpg",Rs. 1708,Rs. 1898,,,,Organic,brand
,Levis,Pure Cotton Printed Co-ords,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32905214/2025/5/15/95f0da5d-fb38-437e-98c1-9c5e7f13a5951747294803780-Mens-Graphic-Print-Navy-Crew-Neck-Co-ord-Set-300174729480313-1.jpg",Rs. 1442,Rs. 3899,,,,Organic,brand
,Levis,Solid Lounge T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12027432/2022/9/15/09d02049-216d-4adf-917a-89c7585b28f51663221482922LevisMenBlackSolidPureCottonRoundNeckLoungeT-shirt1.jpg",Rs. 460,Rs. 649,,,,Organic,brand
,Levis,Men Ribbed Thermal Set,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/JULY/17/RKf3P04L_f8812cf2df0a493bafef2a83b06625b3.jpg",Rs. 1618,Rs. 1798,,,,Organic,brand
,Levis,Solid Lounge T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12027418/2022/9/15/b5f7623a-cc63-43b2-bed7-1ad9ab3070921663221186524LevisMenNavyBlueSolidRoundNeckLoungeT-shirts1.jpg",Rs. 454,Rs. 649,,,,Organic,brand
,Levis,Men Solid Thermal Top,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10723242/2019/11/1/b040c10e-9944-4dca-9f9f-705caa507fd81572608896715-Levis-thermal-tops-2061572608894793-1.jpg",Rs. 441,Rs. 849,,,,Organic,brand
,Levis,Men Thermal Bottoms,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10723240/2020/11/12/e8340bc6-21cf-4362-847c-18988d7b41801605161721201-Levis-Men-Charcoal-Grey-Solid-Thermal-Bottoms-87516051617194-1.jpg",Rs. 493,Rs. 949,,,,Organic,brand
,Levis,Men Neo Briefs,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9263091/2022/9/15/b8d0ef44-9fae-40db-a20d-cf1551bb93ad1663221572330LevisMenBlackSolidPureCottonBriefsBF-100CA-1PK-STYLE-009-351.jpg",Rs. 176,Rs. 249,,,,Organic,brand
,Levis,Typography Printed Co-ords,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/29/271lup3v_670e5c38bbe34ff2a0f8a4b7025f8ad7.jpg",Rs. 1721,Rs. 4099,,,,Organic,brand
,Levis,Men Cotton Checked Boxers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14451140/2021/6/29/d1ec16fe-d868-4257-b667-bdeec8af3cd01624950591859-Levis-Men-Boxers-2981624950591050-1.jpg",Rs. 449,Rs. 599,,,,Organic,brand
,Levis,Men Pure Cotton Neo Brief,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9262481/2022/9/15/d3b3b9e1-e791-491a-800f-b0be2f52a66b1663221317645LevisMenCharcoalGreySolidPureCottonBriefBF-100CA-1PK1.jpg",Rs. 176,Rs. 249,,,,Organic,brand
,Levis,Men Solid Innerwear Vest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/28/obNgLqRo_933a437ca86d41b38f22465687acf706.jpg",Rs. 399,Rs. 449,,,,Organic,brand
,Levis,Men Solid Thermal Bottoms,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10723244/2020/11/12/934bd264-36a8-4771-ae2f-261bd7a4538f1605161681486-Levis-Men-Black-Solid-Thermal-Bottoms-221605161679495-1.jpg",Rs. 569,Rs. 949,,,,Organic,brand
,Levis,Men Solid Thermal Top,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10723252/2020/11/12/377b8b9f-0074-40e1-a775-595124ebc5eb1605161701859-Levis-Men-Black-Solid-Thermal-Top-3241605161700336-1.jpg",Rs. 441,Rs. 849,,,,Organic,brand
,Levis,Men Solid Innerwear Vest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9270955/2024/11/20/2d8e5fae-dbe6-40b4-8f03-5105959880801732090077668-Levis-012-Classic-Vest-for-Men-with-Side-Branding-Comfort--S-1.jpg",Rs. 189,Rs. 279,,,,Organic,brand
,Levis,Pack Of 3 Ankle Length Socks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/14/acMea6IF_e3624883f5dc48fb80478d12d4fc7d3d.jpg",Rs. 399,Rs. 549,,,,Organic,brand
,Levis,Men Black Solid Trunks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9261149/2022/9/15/24836d53-60a9-4ec2-9bd6-9802348f0c471663221380953LevisMenBlackSolidTrunksBB-100CA-1PK-STYLE-010-451.jpg",Rs. 223,Rs. 349,,,,Organic,brand
,Levis,Cotton Sweatshirt & Shorts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32905216/2025/5/15/bbfce980-6080-46fc-9732-0183118b84f21747294192776-Mens-Solid-Yellow-Crew-Neck-Co-ord-Set-9031747294192165-1.jpg",Rs. 1442,Rs. 3899,,,,Organic,brand
,Levis,Men 3-Pcs Calf Length Socks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/14/3Rb6IbVS_c7168d2f518a49d1a7916d3566640701.jpg",Rs. 492,Rs. 649,,,,Organic,brand
,Levis,Men Solid Thermal Top,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10723236/2020/11/12/94a12577-140e-45a8-9989-045f097cbad51605161660216-Levis-Men-Off-White-Solid-Thermal-Top-6041605161657944-1.jpg",Rs. 493,Rs. 949,,,,Organic,brand
,Levis,Men Solid Thermal Top,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10723246/2020/11/12/c4b36acd-d4f2-4b7f-ab74-56b52153ca781605161684836-Levis-Men-Black-Solid-Thermal-Top-781605161682252-1.jpg",Rs. 493,Rs. 949,,,,Organic,brand
,Levis,Men 3-Pcs Above Ankle Socks,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/14/IisTXq3p_7a0a752b9584446e95121a7e847117d5.jpg",Rs. 523,Rs. 599,,,,Organic,brand
,Levis,Solid Lounge T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12027422/2022/9/15/7a4e30f1-809f-4111-9991-6fd07d8832e21663221355704LevisMenCharcoalGreySolidRoundNeckLoungeT-shirts1.jpg",Rs. 454,Rs. 649,,,,Organic,brand
,Levis,Men Solid Innerwear Vest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9270895/2019/11/20/0bc64c1f-d959-4349-a786-e97aa88c83481574252461060-Levis-Cotton-Solid-Vest-Pack-Of-1-2411574252458918-1.jpg",Rs. 233,Rs. 329,,,,Organic,brand
,Levis,Pack of 2 Cotton Briefs,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9262607/2022/9/15/ab1b8745-50ef-4a4a-8f7a-88ff4ce46acc1663221574173LevisMenPackof2CottonBriefsBF-100CA-2PK1.jpg",Rs. 316,Rs. 479,,,,Organic,brand
,Levis,Men Pack of 2 Neo Briefs,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9262443/2022/9/15/5352c32c-da3c-4341-baaf-42a49f8427811663221324037LevisMenPackof2BriefsBF-100CA-2PK1.jpg",Rs. 311,Rs. 479,,,,Organic,brand
,Levis,Pure Cotton Co-Ords,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/1/cMKJFWgj_9d12d7ebbec14db9aa2893f9b1910192.jpg",Rs. 1889,Rs. 4499,,,,Organic,brand
,Levis,Men Thermal Bottoms,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10723250/2020/11/12/4797f38b-796a-44b7-888b-7b0750ebebd01605161697384-Levis-Men-Off-White-Solid-Thermal-Bottoms-1171605161695365-1.jpg",Rs. 493,Rs. 949,,,,Organic,brand
,Puma,Women Skinny Fit Tights,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32646626/2025/2/24/209f3dbb-2216-4e93-9042-240c98c8624e1740378583993-Womens-High-Waist-Leggings-1581740378583475-1.jpg",Rs. 699,Rs. 1999,,,,Organic,brand
