product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
,RARE ONES,Boys Printed Cotton T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/11/CTA17Ay9_20043912d1344a02ae75465b33fd81a2.jpg",Rs. 649,Rs. 1299,,,,Organic,keyword
,BRATMA,Unisex Kids Holi T-Shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/30/VTFguQxn_e95eeb03705046e5b91f33494682b258.jpg",Rs. 199,Rs. 1499,,,,Organic,keyword
,Marks & Spencer,Girls Hooded T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/14/70kW9BP3_2457e404754d4b6fb53b4c0e4f139f4d.jpg",Rs. 591,Rs. 799,,,,Organic,keyword
,KEESOR,Cotton Tshirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/19/caCUH654_d9881b1dd2f74de4a0f401dcac81944f.jpg",Rs. 496,Rs. 899,,,,Organic,keyword
,RARE ONES,Boys Printed Pockets T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/31/XN9SMN8V_4ba9459902ae4bc499b575b5c4f98721.jpg",Rs. 749,Rs. 1499,,,,Organic,keyword
,Outzidr,Printed Long Sleeve T-Shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33510516/2025/4/19/8879ce3c-8f5b-4363-9263-0d2892c05bcf1745047760591-Outzidr-Crop-Top-4141745047760293-1.jpg",,,,,,Organic,keyword
,DAMN GUD DG,Girls Floral Printed T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/2/98vLmcAV_208b2eace626416b976f71b548a33002.jpg",Rs. 499,Rs. 1000,,,,Organic,keyword
,RARE ONES,Boys Printed T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/6/f9v9k8l9_456c123a13554cb585b68b4e9a8ed14b.jpg",Rs. 499,Rs. 999,,,,Organic,keyword
,Googo Gaaga,Kids Pack of 3 Printed T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/28/fupcm1ou_19629663deab472ab7d87b0c98363d65.jpg",Rs. 498,Rs. 1400,,,,Organic,keyword
,Ginger by Lifestyle,Printed Pure Cotton T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/6/PWmKLGRl_369974d7c1884394a72db17337c4230b.jpg",,,,,,Organic,keyword
,Bershka,Women Polka Dot Printed T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/8/P4VCIX7j_b2ddb67122e14b3e92c319f16dc9670f.jpg",,,,,,Organic,keyword
,Crazymonk,Unisex Oversized T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24943064/2023/9/25/71cb5970-fb75-428e-94a4-a5c55d4af7451695628700885-Crazymonk-Unisex-Black-Printed-T-shirt-7101695628700591-1.jpg",Rs. 497,Rs. 1499,,,,Organic,keyword
,KEESOR,Pack Of 3 Cotton Tshirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/8/vYCKoXza_cfa1f94121f246949a6314234173e52a.jpg",Rs. 410,Rs. 699,,,,Organic,keyword
,COLOR CAPITAL,V-Neck Casual T-Shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28011208/2024/3/4/53fd7b41-d784-413f-9fe1-4a602aeb1fcf1709528359332COLORCAPITALTop1.jpg",Rs. 440,Rs. 799,,,,Organic,keyword
